"filename", "language", "Properties", "JavaScript", "JSON", "HTML", "JavaScript JSX", "CSS", "Markdown", "XML", "comment", "blank", "total"
"d:\Proyecto-SubAlcaldia-Distrito7\Frontend-Copia\Proyecto-Front-Sub-Distrito-7-master\.env", "Properties", 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 3
"d:\Proyecto-SubAlcaldia-Distrito7\Frontend-Copia\Proyecto-Front-Sub-Distrito-7-master\.eslintrc.cjs", "JavaScript", 0, 21, 0, 0, 0, 0, 0, 0, 0, 1, 22
"d:\Proyecto-SubAlcaldia-Distrito7\Frontend-Copia\Proyecto-Front-Sub-Distrito-7-master\ListaCentroSalud.json", "JSON", 0, 0, 65, 0, 0, 0, 0, 0, 0, 0, 65
"d:\Proyecto-SubAlcaldia-Distrito7\Frontend-Copia\Proyecto-Front-Sub-Distrito-7-master\ListaEspecialidad.json", "JSON", 0, 0, 21, 0, 0, 0, 0, 0, 0, 1, 22
"d:\Proyecto-SubAlcaldia-Distrito7\Frontend-Copia\Proyecto-Front-Sub-Distrito-7-master\README.md", "Markdown", 0, 0, 0, 0, 0, 0, 5, 0, 0, 4, 9
"d:\Proyecto-SubAlcaldia-Distrito7\Frontend-Copia\Proyecto-Front-Sub-Distrito-7-master\index.html", "HTML", 0, 0, 0, 14, 0, 0, 0, 0, 0, 1, 15
"d:\Proyecto-SubAlcaldia-Distrito7\Frontend-Copia\Proyecto-Front-Sub-Distrito-7-master\package-lock.json", "JSON", 0, 0, 5349, 0, 0, 0, 0, 0, 0, 1, 5350
"d:\Proyecto-SubAlcaldia-Distrito7\Frontend-Copia\Proyecto-Front-Sub-Distrito-7-master\package.json", "JSON", 0, 0, 40, 0, 0, 0, 0, 0, 0, 1, 41
"d:\Proyecto-SubAlcaldia-Distrito7\Frontend-Copia\Proyecto-Front-Sub-Distrito-7-master\postcss.config.js", "JavaScript", 0, 6, 0, 0, 0, 0, 0, 0, 0, 1, 7
"d:\Proyecto-SubAlcaldia-Distrito7\Frontend-Copia\Proyecto-Front-Sub-Distrito-7-master\public\vite.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"d:\Proyecto-SubAlcaldia-Distrito7\Frontend-Copia\Proyecto-Front-Sub-Distrito-7-master\src\App.jsx", "JavaScript JSX", 0, 0, 0, 0, 51, 0, 0, 0, 12, 23, 86
"d:\Proyecto-SubAlcaldia-Distrito7\Frontend-Copia\Proyecto-Front-Sub-Distrito-7-master\src\api\UnidadesEducativas.js", "JavaScript", 0, 257, 0, 0, 0, 0, 0, 0, 23, 52, 332
"d:\Proyecto-SubAlcaldia-Distrito7\Frontend-Copia\Proyecto-Front-Sub-Distrito-7-master\src\components\ComponentDashboardOficial\Aside.jsx", "JavaScript JSX", 0, 0, 0, 0, 38, 0, 0, 0, 1, 11, 50
"d:\Proyecto-SubAlcaldia-Distrito7\Frontend-Copia\Proyecto-Front-Sub-Distrito-7-master\src\components\ComponentDashboardOficial\Dashboard.jsx", "JavaScript JSX", 0, 0, 0, 0, 19, 0, 0, 0, 1, 7, 27
"d:\Proyecto-SubAlcaldia-Distrito7\Frontend-Copia\Proyecto-Front-Sub-Distrito-7-master\src\components\ComponentsDashboardYoutube\Header.jsx", "JavaScript JSX", 0, 0, 0, 0, 18, 0, 0, 0, 0, 4, 22
"d:\Proyecto-SubAlcaldia-Distrito7\Frontend-Copia\Proyecto-Front-Sub-Distrito-7-master\src\components\ComponentsDashboardYoutube\Sidebar.jsx", "JavaScript JSX", 0, 0, 0, 0, 63, 0, 0, 0, 4, 15, 82
"d:\Proyecto-SubAlcaldia-Distrito7\Frontend-Copia\Proyecto-Front-Sub-Distrito-7-master\src\components\ComponentsDashboardYoutube\VentanaPrincipal.jsx", "JavaScript JSX", 0, 0, 0, 0, 162, 0, 0, 0, 8, 23, 193
"d:\Proyecto-SubAlcaldia-Distrito7\Frontend-Copia\Proyecto-Front-Sub-Distrito-7-master\src\components\ComponentsInitial\MainBienvenida.jsx", "JavaScript JSX", 0, 0, 0, 0, 15, 0, 0, 0, 3, 3, 21
"d:\Proyecto-SubAlcaldia-Distrito7\Frontend-Copia\Proyecto-Front-Sub-Distrito-7-master\src\components\ComponentsInitial\Navegacion.jsx", "JavaScript JSX", 0, 0, 0, 0, 13, 0, 0, 0, 8, 11, 32
"d:\Proyecto-SubAlcaldia-Distrito7\Frontend-Copia\Proyecto-Front-Sub-Distrito-7-master\src\components\ComponentsInitial\Principal.jsx", "JavaScript JSX", 0, 0, 0, 0, 17, 0, 0, 0, 2, 9, 28
"d:\Proyecto-SubAlcaldia-Distrito7\Frontend-Copia\Proyecto-Front-Sub-Distrito-7-master\src\components\Encabezado_Listas\UnidadesEducativas\Encabezado_ApoyoGubernamental.jsx", "JavaScript JSX", 0, 0, 0, 0, 103, 0, 0, 0, 3, 20, 126
"d:\Proyecto-SubAlcaldia-Distrito7\Frontend-Copia\Proyecto-Front-Sub-Distrito-7-master\src\components\Encabezado_Listas\UnidadesEducativas\Encabezado_ApoyoSocial.jsx", "JavaScript JSX", 0, 0, 0, 0, 84, 0, 0, 0, 3, 8, 95
"d:\Proyecto-SubAlcaldia-Distrito7\Frontend-Copia\Proyecto-Front-Sub-Distrito-7-master\src\components\Encabezado_Listas\UnidadesEducativas\Encabezado_Desayuno.jsx", "JavaScript JSX", 0, 0, 0, 0, 78, 0, 0, 0, 5, 11, 94
"d:\Proyecto-SubAlcaldia-Distrito7\Frontend-Copia\Proyecto-Front-Sub-Distrito-7-master\src\components\Encabezado_Listas\UnidadesEducativas\Encabezado_Mantenimiento.jsx", "JavaScript JSX", 0, 0, 0, 0, 76, 0, 0, 0, 3, 8, 87
"d:\Proyecto-SubAlcaldia-Distrito7\Frontend-Copia\Proyecto-Front-Sub-Distrito-7-master\src\components\Listas\UnidadesEducativas\Lista_ApoyoGubernamental.jsx", "JavaScript JSX", 0, 0, 0, 0, 41, 0, 0, 0, 2, 11, 54
"d:\Proyecto-SubAlcaldia-Distrito7\Frontend-Copia\Proyecto-Front-Sub-Distrito-7-master\src\components\Listas\UnidadesEducativas\Lista_ApoyoSocial.jsx", "JavaScript JSX", 0, 0, 0, 0, 73, 0, 0, 0, 3, 11, 87
"d:\Proyecto-SubAlcaldia-Distrito7\Frontend-Copia\Proyecto-Front-Sub-Distrito-7-master\src\components\Listas\UnidadesEducativas\Lista_Desayuno.jsx", "JavaScript JSX", 0, 0, 0, 0, 48, 0, 0, 0, 4, 12, 64
"d:\Proyecto-SubAlcaldia-Distrito7\Frontend-Copia\Proyecto-Front-Sub-Distrito-7-master\src\components\Listas\UnidadesEducativas\Lista_Mantenimiento.jsx", "JavaScript JSX", 0, 0, 0, 0, 73, 0, 0, 0, 4, 15, 92
"d:\Proyecto-SubAlcaldia-Distrito7\Frontend-Copia\Proyecto-Front-Sub-Distrito-7-master\src\components\Modal\UnidadEducativa\Modal_Crear_Desayuno.jsx", "JavaScript JSX", 0, 0, 0, 0, 7, 0, 0, 0, 0, 2, 9
"d:\Proyecto-SubAlcaldia-Distrito7\Frontend-Copia\Proyecto-Front-Sub-Distrito-7-master\src\components\Modal\UnidadEducativa\Modal_Crear_Gubernamental.jsx", "JavaScript JSX", 0, 0, 0, 0, 7, 0, 0, 0, 0, 2, 9
"d:\Proyecto-SubAlcaldia-Distrito7\Frontend-Copia\Proyecto-Front-Sub-Distrito-7-master\src\components\Modal\UnidadEducativa\Modal_Crear_Mantenimiento.jsx", "JavaScript JSX", 0, 0, 0, 0, 7, 0, 0, 0, 0, 2, 9
"d:\Proyecto-SubAlcaldia-Distrito7\Frontend-Copia\Proyecto-Front-Sub-Distrito-7-master\src\components\Modal\UnidadEducativa\Modal_Crear_Social.jsx", "JavaScript JSX", 0, 0, 0, 0, 7, 0, 0, 0, 0, 2, 9
"d:\Proyecto-SubAlcaldia-Distrito7\Frontend-Copia\Proyecto-Front-Sub-Distrito-7-master\src\components\Modal\UnidadEducativa\Modal_Editar_Desayuno.jsx", "JavaScript JSX", 0, 0, 0, 0, 7, 0, 0, 0, 0, 2, 9
"d:\Proyecto-SubAlcaldia-Distrito7\Frontend-Copia\Proyecto-Front-Sub-Distrito-7-master\src\components\Modal\UnidadEducativa\Modal_Editar_Gubernamental.jsx", "JavaScript JSX", 0, 0, 0, 0, 7, 0, 0, 0, 0, 2, 9
"d:\Proyecto-SubAlcaldia-Distrito7\Frontend-Copia\Proyecto-Front-Sub-Distrito-7-master\src\components\Modal\UnidadEducativa\Modal_Editar_Mantenimiento.jsx", "JavaScript JSX", 0, 0, 0, 0, 7, 0, 0, 0, 0, 2, 9
"d:\Proyecto-SubAlcaldia-Distrito7\Frontend-Copia\Proyecto-Front-Sub-Distrito-7-master\src\components\Modal\UnidadEducativa\Modal_Editar_Social.jsx", "JavaScript JSX", 0, 0, 0, 0, 7, 0, 0, 0, 0, 2, 9
"d:\Proyecto-SubAlcaldia-Distrito7\Frontend-Copia\Proyecto-Front-Sub-Distrito-7-master\src\components\components\Header.jsx", "JavaScript JSX", 0, 0, 0, 0, 156, 0, 0, 0, 3, 13, 172
"d:\Proyecto-SubAlcaldia-Distrito7\Frontend-Copia\Proyecto-Front-Sub-Distrito-7-master\src\components\components\Mapa.jsx", "JavaScript JSX", 0, 0, 0, 0, 8, 0, 0, 0, 0, 4, 12
"d:\Proyecto-SubAlcaldia-Distrito7\Frontend-Copia\Proyecto-Front-Sub-Distrito-7-master\src\components\components\Sidebar.jsx", "JavaScript JSX", 0, 0, 0, 0, 138, 0, 0, 0, 56, 30, 224
"d:\Proyecto-SubAlcaldia-Distrito7\Frontend-Copia\Proyecto-Front-Sub-Distrito-7-master\src\components\modales\Modal_Agregar_ApoyoGubernamental.jsx", "JavaScript JSX", 0, 0, 0, 0, 51, 0, 0, 0, 25, 11, 87
"d:\Proyecto-SubAlcaldia-Distrito7\Frontend-Copia\Proyecto-Front-Sub-Distrito-7-master\src\components\modales\Modal_Agregar_Desayuno.jsx", "JavaScript JSX", 0, 0, 0, 0, 63, 0, 0, 0, 25, 13, 101
"d:\Proyecto-SubAlcaldia-Distrito7\Frontend-Copia\Proyecto-Front-Sub-Distrito-7-master\src\components\modales\Modal_Agregar_Mantenimiento.jsx", "JavaScript JSX", 0, 0, 0, 0, 89, 0, 0, 0, 1, 7, 97
"d:\Proyecto-SubAlcaldia-Distrito7\Frontend-Copia\Proyecto-Front-Sub-Distrito-7-master\src\components\modales\Modal_Aregar_ApoyoSocial.jsx", "JavaScript JSX", 0, 0, 0, 0, 93, 0, 0, 0, 3, 5, 101
"d:\Proyecto-SubAlcaldia-Distrito7\Frontend-Copia\Proyecto-Front-Sub-Distrito-7-master\src\components\modales\Modal_Editar_ApoyoGubernamental.jsx", "JavaScript JSX", 0, 0, 0, 0, 53, 0, 0, 0, 25, 13, 91
"d:\Proyecto-SubAlcaldia-Distrito7\Frontend-Copia\Proyecto-Front-Sub-Distrito-7-master\src\components\modales\Modal_Editar_ApoyoSocial.jsx", "JavaScript JSX", 0, 0, 0, 0, 61, 0, 0, 0, 25, 10, 96
"d:\Proyecto-SubAlcaldia-Distrito7\Frontend-Copia\Proyecto-Front-Sub-Distrito-7-master\src\components\modales\Modal_Editar_Desayuno.jsx", "JavaScript JSX", 0, 0, 0, 0, 63, 0, 0, 0, 25, 13, 101
"d:\Proyecto-SubAlcaldia-Distrito7\Frontend-Copia\Proyecto-Front-Sub-Distrito-7-master\src\components\modales\Modal_Editar_Mantenimiento.jsx", "JavaScript JSX", 0, 0, 0, 0, 63, 0, 0, 0, 3, 7, 73
"d:\Proyecto-SubAlcaldia-Distrito7\Frontend-Copia\Proyecto-Front-Sub-Distrito-7-master\src\context\ApoyoSocialContext.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\Proyecto-SubAlcaldia-Distrito7\Frontend-Copia\Proyecto-Front-Sub-Distrito-7-master\src\context\DesayunoContext.jsx", "JavaScript JSX", 0, 0, 0, 0, 10, 0, 0, 0, 1, 3, 14
"d:\Proyecto-SubAlcaldia-Distrito7\Frontend-Copia\Proyecto-Front-Sub-Distrito-7-master\src\hooks\useForm.js", "JavaScript", 0, 17, 0, 0, 0, 0, 0, 0, 0, 7, 24
"d:\Proyecto-SubAlcaldia-Distrito7\Frontend-Copia\Proyecto-Front-Sub-Distrito-7-master\src\index.css", "CSS", 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 3
"d:\Proyecto-SubAlcaldia-Distrito7\Frontend-Copia\Proyecto-Front-Sub-Distrito-7-master\src\layout\FormularioLogin.jsx", "JavaScript JSX", 0, 0, 0, 0, 105, 0, 0, 0, 0, 10, 115
"d:\Proyecto-SubAlcaldia-Distrito7\Frontend-Copia\Proyecto-Front-Sub-Distrito-7-master\src\layout\LayoutAdmin.jsx", "JavaScript JSX", 0, 0, 0, 0, 19, 0, 0, 0, 7, 8, 34
"d:\Proyecto-SubAlcaldia-Distrito7\Frontend-Copia\Proyecto-Front-Sub-Distrito-7-master\src\layout\VentanaLogin.jsx", "JavaScript JSX", 0, 0, 0, 0, 18, 0, 0, 0, 2, 5, 25
"d:\Proyecto-SubAlcaldia-Distrito7\Frontend-Copia\Proyecto-Front-Sub-Distrito-7-master\src\main.jsx", "JavaScript JSX", 0, 0, 0, 0, 12, 0, 0, 0, 1, 6, 19
"d:\Proyecto-SubAlcaldia-Distrito7\Frontend-Copia\Proyecto-Front-Sub-Distrito-7-master\src\pages\CentrosRecreativos\CentroRecreativo.jsx", "JavaScript JSX", 0, 0, 0, 0, 9, 0, 0, 0, 0, 3, 12
"d:\Proyecto-SubAlcaldia-Distrito7\Frontend-Copia\Proyecto-Front-Sub-Distrito-7-master\src\pages\CentrosSalud\CentroSalud.jsx", "JavaScript JSX", 0, 0, 0, 0, 9, 0, 0, 0, 0, 3, 12
"d:\Proyecto-SubAlcaldia-Distrito7\Frontend-Copia\Proyecto-Front-Sub-Distrito-7-master\src\pages\CentrosSalud\CentroSaludGeneral.jsx", "JavaScript JSX", 0, 0, 0, 0, 58, 0, 0, 0, 37, 24, 119
"d:\Proyecto-SubAlcaldia-Distrito7\Frontend-Copia\Proyecto-Front-Sub-Distrito-7-master\src\pages\CentrosSalud\ListaCentroSalud.jsx", "JavaScript JSX", 0, 0, 0, 0, 46, 0, 0, 0, 4, 14, 64
"d:\Proyecto-SubAlcaldia-Distrito7\Frontend-Copia\Proyecto-Front-Sub-Distrito-7-master\src\pages\Inicio\Inicio.jsx", "JavaScript JSX", 0, 0, 0, 0, 155, 0, 0, 0, 17, 23, 195
"d:\Proyecto-SubAlcaldia-Distrito7\Frontend-Copia\Proyecto-Front-Sub-Distrito-7-master\src\pages\OficinaDistrital\OficinaDistritalPrincipal.jsx", "JavaScript JSX", 0, 0, 0, 0, 9, 0, 0, 0, 0, 3, 12
"d:\Proyecto-SubAlcaldia-Distrito7\Frontend-Copia\Proyecto-Front-Sub-Distrito-7-master\src\pages\TelefonoUrgencia\TelefonoUrgencia.jsx", "JavaScript JSX", 0, 0, 0, 0, 9, 0, 0, 0, 0, 3, 12
"d:\Proyecto-SubAlcaldia-Distrito7\Frontend-Copia\Proyecto-Front-Sub-Distrito-7-master\src\pages\UnidadesEducativas\DatosListaGenerales.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\Proyecto-SubAlcaldia-Distrito7\Frontend-Copia\Proyecto-Front-Sub-Distrito-7-master\src\pages\UnidadesEducativas\Detalles_UnidadEducativa.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\Proyecto-SubAlcaldia-Distrito7\Frontend-Copia\Proyecto-Front-Sub-Distrito-7-master\src\pages\UnidadesEducativas\FormAgregarNuevo\AgregarImagenJuntaEscolar.jsx", "JavaScript JSX", 0, 0, 0, 0, 10, 0, 0, 0, 55, 18, 83
"d:\Proyecto-SubAlcaldia-Distrito7\Frontend-Copia\Proyecto-Front-Sub-Distrito-7-master\src\pages\UnidadesEducativas\FormAgregarNuevo\FormAgregarDesayuno.jsx", "JavaScript JSX", 0, 0, 0, 0, 46, 0, 0, 0, 1, 14, 61
"d:\Proyecto-SubAlcaldia-Distrito7\Frontend-Copia\Proyecto-Front-Sub-Distrito-7-master\src\pages\UnidadesEducativas\FormAgregarNuevo\FormAgregarGestion.jsx", "JavaScript JSX", 0, 0, 0, 0, 44, 0, 0, 0, 2, 7, 53
"d:\Proyecto-SubAlcaldia-Distrito7\Frontend-Copia\Proyecto-Front-Sub-Distrito-7-master\src\pages\UnidadesEducativas\FormAgregarNuevo\FormAgregarUE.jsx", "JavaScript JSX", 0, 0, 0, 0, 161, 0, 0, 0, 12, 64, 237
"d:\Proyecto-SubAlcaldia-Distrito7\Frontend-Copia\Proyecto-Front-Sub-Distrito-7-master\src\pages\UnidadesEducativas\FormAgregarNuevo\FormTipoApoyo.jsx", "JavaScript JSX", 0, 0, 0, 0, 47, 0, 0, 0, 0, 15, 62
"d:\Proyecto-SubAlcaldia-Distrito7\Frontend-Copia\Proyecto-Front-Sub-Distrito-7-master\src\pages\UnidadesEducativas\FormAgregarNuevo\FormTipos.jsx", "JavaScript JSX", 0, 0, 0, 0, 23, 0, 0, 0, 72, 13, 108
"d:\Proyecto-SubAlcaldia-Distrito7\Frontend-Copia\Proyecto-Front-Sub-Distrito-7-master\src\pages\UnidadesEducativas\FormEditar\FormEditarDesayuno.jsx", "JavaScript JSX", 0, 0, 0, 0, 83, 0, 0, 0, 1, 22, 106
"d:\Proyecto-SubAlcaldia-Distrito7\Frontend-Copia\Proyecto-Front-Sub-Distrito-7-master\src\pages\UnidadesEducativas\FormEditar\FormEditarGestion.jsx", "JavaScript JSX", 0, 0, 0, 0, 60, 0, 0, 0, 18, 16, 94
"d:\Proyecto-SubAlcaldia-Distrito7\Frontend-Copia\Proyecto-Front-Sub-Distrito-7-master\src\pages\UnidadesEducativas\FormEditar\FormEditarTipos.jsx", "JavaScript JSX", 0, 0, 0, 0, 80, 0, 0, 0, 0, 13, 93
"d:\Proyecto-SubAlcaldia-Distrito7\Frontend-Copia\Proyecto-Front-Sub-Distrito-7-master\src\pages\UnidadesEducativas\FormEditar\FormEditarUE.jsx", "JavaScript JSX", 0, 0, 0, 0, 94, 0, 0, 0, 15, 36, 145
"d:\Proyecto-SubAlcaldia-Distrito7\Frontend-Copia\Proyecto-Front-Sub-Distrito-7-master\src\pages\UnidadesEducativas\ListaUE.jsx", "JavaScript JSX", 0, 0, 0, 0, 49, 0, 0, 0, 6, 16, 71
"d:\Proyecto-SubAlcaldia-Distrito7\Frontend-Copia\Proyecto-Front-Sub-Distrito-7-master\src\pages\UnidadesEducativas\Mapas\MapaAgregar.jsx", "JavaScript JSX", 0, 0, 0, 0, 64, 0, 0, 0, 10, 15, 89
"d:\Proyecto-SubAlcaldia-Distrito7\Frontend-Copia\Proyecto-Front-Sub-Distrito-7-master\src\pages\UnidadesEducativas\Mapas\MapaMostrar.jsx", "JavaScript JSX", 0, 0, 0, 0, 48, 0, 0, 0, 3, 27, 78
"d:\Proyecto-SubAlcaldia-Distrito7\Frontend-Copia\Proyecto-Front-Sub-Distrito-7-master\src\pages\UnidadesEducativas\Publico\FormDataPublica.jsx", "JavaScript JSX", 0, 0, 0, 0, 310, 0, 0, 0, 26, 58, 394
"d:\Proyecto-SubAlcaldia-Distrito7\Frontend-Copia\Proyecto-Front-Sub-Distrito-7-master\src\pages\UnidadesEducativas\Publico\FormDataPublicaExtra.jsx", "JavaScript JSX", 0, 0, 0, 0, 41, 0, 0, 0, 0, 19, 60
"d:\Proyecto-SubAlcaldia-Distrito7\Frontend-Copia\Proyecto-Front-Sub-Distrito-7-master\src\pages\UnidadesEducativas\Publico\FormularioAgregarPublica.jsx", "JavaScript JSX", 0, 0, 0, 0, 145, 0, 0, 0, 10, 33, 188
"d:\Proyecto-SubAlcaldia-Distrito7\Frontend-Copia\Proyecto-Front-Sub-Distrito-7-master\src\pages\UnidadesEducativas\Publico\FotosParaFormulario\FotosMultiple.jsx", "JavaScript JSX", 0, 0, 0, 0, 81, 0, 0, 0, 0, 16, 97
"d:\Proyecto-SubAlcaldia-Distrito7\Frontend-Copia\Proyecto-Front-Sub-Distrito-7-master\src\pages\UnidadesEducativas\Publico\GenerarPDF.jsx", "JavaScript JSX", 0, 0, 0, 0, 52, 0, 0, 0, 2, 16, 70
"d:\Proyecto-SubAlcaldia-Distrito7\Frontend-Copia\Proyecto-Front-Sub-Distrito-7-master\src\pages\UnidadesEducativas\Publico\ListaGeneralUE.jsx", "JavaScript JSX", 0, 0, 0, 0, 125, 0, 0, 0, 34, 46, 205
"d:\Proyecto-SubAlcaldia-Distrito7\Frontend-Copia\Proyecto-Front-Sub-Distrito-7-master\tailwind.config.js", "JavaScript", 0, 21, 0, 0, 0, 0, 0, 0, 1, 2, 24
"d:\Proyecto-SubAlcaldia-Distrito7\Frontend-Copia\Proyecto-Front-Sub-Distrito-7-master\vite.config.js", "JavaScript", 0, 5, 0, 0, 0, 0, 0, 0, 1, 2, 8
"Total", "-", 1, 327, 5475, 14, 3888, 3, 5, 1, 619, 990, 11323